Placement,Name,Score,Time
180,Player,1802790,41:31.4
181,1317729213,1804260,44:50.5
182,wys030416,1805800,37:32.2
183,Player_0,1809380,34:55.4
184,Blizzard156,1810305,49:47.6
185,GigaChad,1811990,39:23.6
186,41470131,1819635,41:03.5
187,qushui,1822925,40:06
188,qquan,1824240,37:08.1
189,giuliovhr,1828515,30:43.9
190,ppdaifei,1830140,34:44.5
191,BM14,1834110,38:31.2
192,Player,1836545,40:12.5
193,Sorbet,1836565,39:38.9
194,Philippe_fiffi,1842735,43:35.7
195,Viiv,1844335,41:15.8
196,Player,1845435,36:53.1
197,br8k,1846715,37:17.9
198,Mr8k,1847997,45:04.1
199,Player,1854390,39:07.3
200,Player,1856550,39:21.7
201,Ricardo,1858770,40:31.9
202,MrPointFifty,1859510,50:52.3
203,Arthur,1869320,34:17
204,2078273072,1885510,38:00.2
205,r9,1887465,51:36.9
206,Kralju,1900115,38:04.8
207,buka,1902110,38:52
208,Brucemen,1908685,40:05.6
209,Drexophilia,1909480,49:56.1
210,2364207948,1911875,27:35.1
211,Yunyunyu,1921775,39:14.5
212,aardcat,1923865,32:18.2
213,SpeedWagon11,1923960,41:38.9
214,1316551027,1936930,49:46.5
215,wwliebtly,1938185,37:23.9
216,10,1939025,44:14.3
217,ltz,1942015,44:33.5
218,frank_dadou,1945695,34:46.4
219,Hand Charge Ki,1949715,37:35.8
220,vunam,1949820,38:29.2
221,ForeverLove,1949980,40:24.3
222,Christopher,1953405,49:49.2
223,Khaled,1969790,46:43.7
224,mdeschu,1977160,29:18.1
225,lanabananarama,1977530,35:16.3
226,PogbaChan,1982630,40:30.7
227,DeadBush,1983750,36:05.2
228,Player,1988200,42:24.8
229,jonathism123,1990735,33:31.3
230,Victor Calleja,1990900,36:43.9
231,Iceboy10,1992055,31:45.8
232,2649935474,1992670,38:27.1
233,zzzz,1996125,42:55.2
234,Jordan,1996125,56:04.1
235,mraggi,1998520,37:48.3
236,xianren,2005635,40:51
237,Luna,2005650,36:43.2
238,xkylol,2005795,24:08.5
239,SomeWabalan,2017835,39:56.1
240,Goldenboy2287,2018093,43:46.7
241,Zony,2021710,32:45.2
242,Liza,2022530,35:38.8
243,rysace,2023305,48:44
244,WILLDENPLAYS,2025715,40:34.8
245,aiqingketianle,2026325,37:08.3
246,ZRJ,2028535,33:03.4
247,ALL_INSTAS!!!,2030545,45:03.5
248,MichaelLalsangpuia,2041610,34:56.6
249,Tajun,2047100,34:03.5
250,Andrew Dhaenens,2052945,37:27.9
251,Player6187869,2056920,32:37.4
252,kdogg8173,2062355,49:05.1
253,KotalKatil,2075975,39:00.8
254,Zachmen,2081010,36:46.3
255,ActualAnt,2083270,45:24.6
256,DuelKingdom,2085755,41:09.1
257,ssstick,2089910,39:10
258,Guz00,2090710,48:56.4
259,The Order,2098715,39:36.2
260,Pudding,2102715,38:51.5
261,der_ute,2105285,33:01.1
262,bankennkun,2105870,30:27
263,Matimele,2107425,32:00.3
264,Hash Brown,2111230,34:04.8
265,WalkerTiley,2116125,36:01
266,edward612,2116370,28:43.2
267,dcronin4,2119530,48:47.3
268,KingThunder14,2120065,36:21.8
