Placement,Name,Score,id
32,yjw,24:34.55,9fbd16df8dc7abf01845864c0972b57e9a074cef9c108b6b
32,GluePhoenix266,24:34.55,9fbb1ed8d9c7aff41d43d9435e72e67299504bbacd11db3e
33,Player5448571,24:34.75,9fbf41828b93fda719448a4d0b21e572cf061fef98448a3e
33,Avery,24:34.75,9ced438cd793ada24a42874d5a77ef26cf011abacf158a3c
33,Major,24:34.75,9ced4382d69eaca04a42874d5a77ef26cf011abbc8468a6c
34,H,25:59.3,9fbb44dfdbc2aaa24a42d91d5a70e175c80c49ba9c10d06c
35,BananaJC,25:59.384,9fbc4189db90f8f418168d435b71e7749a5518e89c178a3a
35,BANANANOMNOM,25:59.384,9fbc4189db90aaa44e11861d5675e174cf0d18edcf18df39
35,BANANASC,25:59.384,9fbc468ddbc5fea54a13881d5972b074ce504cef9716db3b
36,Yan,26:43.567,9fbb42d98c95f8a24a458e4c0a26ef769f5115ef9c158b6b
36,TealZebra3242,26:43.567,9fbb1eddd99ffbf41017d94f5b7ab372cd001fb9cd148e6b
37,flareOS,27:27.434,9ced158ad790fea14b168f485721e071c8044cbfcb44d03c
37,Accone,27:27.434,9cba12ddd9c0aba34d10dc4f5e27e621c80d4fbf99418c6e
37,Alphahex,27:27.434,9cbb44d8dd94afa21f11874c0c75b724cd561bee98418930
38,Player,28:04.7,9fba138d8d9ffda74e43dc1a5b20e67299031cbccc11d03a
39,Juice,28:58.184,9fba1389899fafa51e118f4b0972e422cf044bba9a128e30
39,Astronic,28:58.184,9cb9118dde96fff61b46884b5f77e525cc024ebf9a198d3d
39,Kill,28:58.184,9cb8158ed693acf01a43d94f5b74b576cc0d4fe9cb188c6a
40,VioletHero2211,29:03.867,9fba15dad9c4fda31c44894c5f26b2779a5519bb9a16d13f
40,burger_1990,29:03.867,9cb913d8da93fca31046de4a5e21e075c9064bbf9d17d93c
40,HeroicTiger2639,29:03.867,9fba15d8d9c7fba649468e495e21b072c5021ebe9d17da30
