Placement,Name,Score
1,suboptimal,396733
2,Guanium,405817
3,donkeymule2,477967
4,Gumball,604166
5,Janky Joongler,629550
6,SupremeAvocado,633683
7,Essi,637916
8,ZeroLancer,641966
9,Blild,703166
10,MangT28,704483
11,High Wizard jp,821100
12,HyFYL,895800
13,Paperboy,926384
14,dziadek981950,955100
15,85563369,971150
16,64918652,972133
17,SomeWabalan,978017
18,Liam,980350
19,Player,985066
20,Danny,985566
21,Korca,995033
22,Player,1002200
23,Playerzmz100,1016150
24,Grim Rain,1016917
25,940909681,1019483
26,Long4J,1019700
27,Cici,1052150
28,Loconch,1055516
29,laugh to death,1070800
30,laodaomo,1079350
31,shenbuzhi,1083100
32,DarkHeldoro,1083683
33,Hala_CR,1102750
34,G-GOAT,1104850
35,Kival Evan,1112100
36,song,1114800
37,gujun,1117316
38,ZungGaaYi,1119184
39,Supermonkey,1122266
40,FeedMePi314,1141600
41,Xrosschoke,1142717
42,duanmuhezheng,1147600
43,wind3366,1152683
44,Player9729105,1154050
45,DocDapper,1154850
46,Kerone,1155550
47,nuohu,1156583
48,Ayeccs,1157067
49,Jaster56100,1159217
50,Red Komrade,1168217
51,KnMMM_,1172433
52,spoony_qing,1178484
53,Oorz,1183683
54,ILoveThisGame,1195117
55,Erky,1198384
56,AJ,1200017
57,Player,1201400
58,KarmaKun,1202200
59,laplacian,1210284
60,P,1211166
61,AlphaFish,1212250
62,Xi-temper,1214100
63,Fried Ghost,1214517
64,<elves>,1216800
65,ev3rt,1218833
66,Triggered,1219934
67,sabishina,1222433
68,Mashiro,1225250
69,Jinx-baobao,1228600
70,taiks,1231733
71,Mr. Teeny,1232400
72,James,1233184
73,KingThunder14,1233233
74,Cyanea,1233433
75,Shamrock,1237217
76,Luna,1243317
77,User-a5549921b4,1244683
78,David Rojas,1255883
79,QIan Xia,1262817
80,Tomek87,1266850
81,vivalay,1278183
82,FREEZING,1281084
83,AwsomeWizard8,1288500
84,Munny,1291384
85,black,1293183
86,Ecbrd,1294116
87,500kg(OP)noob,1296366
88,Raider,1299167
89,-Kev2048-,1300650
90,topaz2698,1302116
91,Bamzo,1302767
92,K4S6M,1304150
93,SteelMushroom,1304800
94,uvclive,1311550
95,doudoubtd,1316834
96,Wobbles,1317416
97,Hopper,1318750
98,wwwseee723,1320133
99,Captain-Gunfire,1320350
100,Hook.er,1322233
101,No,1324633
102,chromakey,1328583
103,Agent Six,1330000
104,uniquewine,1333134
105,sadsad1370,1335717
106,NIK,1340833
107,Uncle Wang,1352133
108,TessAllKnowing,1352934
109,Totti,1356600
110,PlayerOne,1358184
111,QQqun120137284,1359367
112,MeteoroB,1361000
113,Bsbisa,1362216
114,KuroNoTsubasa,1368283
115,nguyentony99,1369933
116,xkylol,1373633
117,Player,1376616
118,bjay23,1376967
119,liuu001,1379334
120,Player,1381516
121,MeowSummon,1382317
122,FairGame,1383183
123,lit56,1384950
124,Player,1389050
125,Player,1390117
126,Khavik,1392783
127,aspen,1393767
128,Pousheen,1395400
129,bond2501,1398900
130,Partyhans,1400916
131,Glitchysharkxd,1402883
132,CookieKiller,1404250
133,EcoAlpha,1407700
134,rockzolid,1410150
135,hakka17,1414867
136,MamaParagonT,1419484
137,OttO,1419967
138,Spagublio,1421683
139,CSBLWJ,1424116
140,GamerKingST,1426334
141,Raya,1426683
142,ryfrane,1431000
143,Jorcy,1431234
144,Sir RageALot,1433433
145,TinyPineappl,1443217
146,WinterSolstice,1446767
147,Nakoda305,1449400
148,Soca Rebolando,1451067
149,Leotiger,1451450
150,Lunya,1451900
