Placement,Name,Score,id
1,Smart Persan,120450,147:28.2,9cba42dede9ffea111478f190b26e425cd0d1be99c18df6a
2,SkuchaYT,120710,119:25.9,9ced138cd79ffbf04d43de4a0c27e624ce0c4fb49b41de3a
3,TechTerr0r,120900,83:01.9,9ce91f89db94abf61a10891a5d76e22298571eb9c8418b6c
4,Prosin,124755,4:27.2,9fbd138dddc5f0f01a40da1e0b76e076cc031cef9d10dd6a
5,animal,155165,20:38.9,9fbc1289d6c3ada04916881f5774b574c9021be99f11de3b
6,Uniquepotatoes,165100,30:11.1,9ced13838ac3fff71d11dd4b0b20e325cd0148e89f178b6a
7,kD,169585,26:30.1,9fba17dfdb97acf14d4b864d0a7ae17299031bbc96198d3b
8,Darth Plagueis,171120,30:35.9,9cb746da8d92aaf31b45de435a7bb072cc0d1feecb148e6b
9,Superjombombo,174085,25:56.1,9cec428cdc9eabf71c13871a0972e47ec8501bee9b42d96c
10,PepperJack,174610,27:07.7,9ce9138c8dc0acf11116d91a5a21e27fcc041eb99d17d031
11,NaiveStorm,177205,24:45.1,9fbf448ed991f0a51a13de4f5d7be521cf501fbb99158e6a
12,Hyperion,177420,26:51,9cec108bddc0fba04d47de1d5a25b372c90c4bbfcd44de69
13,Benji :3,177595,28:13.2,9fbd1589d790f9f71111d94c5d75e623cc504cbccc45db3b
14,MikeJOOOOONES,178010,30:40.6,9fbb1383d7c5a8a64e108b1a5a73e175ca5619bb9c108e30
15,AOPSUser,179205,26:00.4,9ce94182db94fef64d41871f5c26e77eca521defcc198d6e
16,TheDMan1708,179670,25:07.6,9fbc428e8a96abf44c10d91f0d7bb073ca0c1dea9e158c39
17,I love you <3,180220,24:09,9fbe46ddd8c7aba21b46891d0a76e521ce0d1ab99f43d93e
18,Hectormvz04,180480,27:01.9,9fbe458adac4ada04d4a8e4a0e75e274cc5118ef9a41d969
19,Baka-chan,180775,24:41.6,9cb942de8b9ff9f44b178a4e0a7ab775cc5514b49b17d96e
20,Hoolyx,180880,27:44.1,9cea41df8a91f8a41e45864d5627e17e9f074eefcb118e6c
21,ethanhaddox,180920,23:26.2,9fbd1f8fd8c3fbf11c438e4b5f77e2779d0348b5cf42df31
22,JxA_0,181365,24:53.4,9fbc458a8bc7fdf11e4a89190925ef719e034eb89f108e3c
23,Shhdaddysworkn,181550,25:44.2,9fbe46de8e93fda31c16da4b0a25e171c4514bb8cc15df39
24,Hopper,181945,25:29,9ce94183dc95faa14e458a4e5871e77f98511ebe9c41d13f
25,rtthrd,182415,24:06,9fbf128edac7fba410178f1e0d21e42198561bee9f11df6d
26,YT:RCCH,182860,25:10.1,9cb71f82dec0f9f11e168b4b5d26e472cc5618b59f108e6a
27,A DISPLAYNAME,183175,22:42,9fbc1edd8b90acf61d17dd1e5b70b575cd041fe99744d869
28,HappyJTC,183185,29:16.4,9fbc44df8dc5ada14d448b4d5d7be7729d0218bdcf18da31
29,andreasfh,183745,26:47.5,9fbd4282db91fba14d45dc190d21ee72cb011ded9614896e
30,Lo Tormento,183755,28:47.7,9fbb438d8e95aca21947da1a5675b326c4514cb5cc18dc69
31,Lonely,183995,23:53.2,9fbb10ddd793fba71e42da4d5f27e226c90115be9843dc31
32,Jandalf,183995,27:53.1,9cba1eda8ec2aaac4945dd4d0a77b470cc0c1fe89914db38
33,Leaf,184320,23:48,9cb9128cdac5abf64b46d91f5670ee24cc0d49bf9e14dd3c
34,Bloonpopper777,184440,25:29,9cba128adcc5faa01943864e5f76ef22cc0c14ee9a44dc3d
35,Monkey044,184560,25:25.1,9fbf1288dcc5f9f11c138b4c0e20e477ca5014eecd15dd3a
36,WestSecond,184870,25:32.9,9fbc46da8dc2fef11d1388195d76b573c90649e89c18d938
