Placement,Name,Score,id
1,BEASTY,57,37:43.4,9cea15d9df97f9a61a1188185d25e325c8561eeacd458e6b
1,SleepyToucan302,57,37:43.4,9ceb13df8dc4fca31a46864c5926e7259a5648e9c845df3b
1,(Katabu),57,37:43.4,9cec1eded894a8a6184a8d420925e575ca5615bacd17d83e
2,Soul,62,29:14.4,9fbb438dda95f8a54c10d91e0d7bb777c50648ba9a188b39
3,xiaoyu,77,29:08.8,9fba138f8e92f0f11e148f435727e476cc0019ee9e128930
3,Kduel,77,29:08.8,9fbb17dddfc5f9f61c478e485d25e575c9064fba9713893a
3,Xie,77,29:08.8,9ce9418adac5afa54b108d1a5922e77eca0415b59a19d130
4,Spitz v5,242,22:50.1,9fbd1082da9eabf41b47881a0b26e772c95748b99b14db3e
4,Isshiki,242,22:50.1,9fbe10d8d9c2aff71c1489485f76e5769a554bb89f148b3f
4,Pr3s1d3ntCuni,242,22:50.1,9fbf43d8de93fea11c41de4e5e7be672cc5115bd9d11d83c
4,UglyDODO,242,22:50.1,9ce9428dd7c2fda74b41dd1f0b72e77ec80c19b99e43d83c
5,LongShanks,292,31:38.6,9fbf12dad9c3aaf01d108c1d5e73e07fc8514fbb9716d930
6,Der_ute,303,24:42.5,9fbd168dda95fead18458f425b76e775cd031beacb19df3b
6,Player,303,24:42.5,9ce941df899efea14c16874c5627e77f9f521de99e458d3d
6,Gandalf,303,24:42.5,9fbb11898e9ff0f31e43db495c70b77fc40d1ce9cf42db38
6,Spani,303,24:42.5,9cea458c8bc2abac1044da4c5d7be77fc50615b49d41d83d
7,TraiN,396,25:32.8,9fbb168ad793aaf64a1187435b21b426c5564ee999428e3d
7,Mozart,396,25:32.8,9ce9418cdc95f8a0194086425c7ae77f98501eee9e108b6a
7,damon314159,396,25:32.8,9cb742898e97a8f04a108b4f0c25e671cc551ae8c8428e30
8,BiscuitEater,473,28:27.7,9fbe15d9ddc3f8f04c478c195876e576cb5214b8c815dd3f
9,c0ntext,523,22:29.8,9fbf10ded9c4afa210168e4f5c22e175c90449b49e18d931
10,EpicLion,575,19:03.7,9fbc168e8e91f8a51945894e5877e171ce064fbe9b128e38
10,Stulle,575,19:03.7,9fbe4688899efca31d168e4e0a7be576c50d1fb8cd19de6d
10,RanFujimiyaTTV,575,19:03.7,9ce9178c8e96aba61a118a1f5f72e425cc0c4bbd9a10d86a
10,Secno,575,19:03.7,9cee13dd8c94aaf7194b86485f26e371cc5649be9e16893a
11,pi61,866,21:47.3,9fbd458cdb96fea61a4adc1e5f72ef77c5061bbdca10893a
11,Ben251,866,21:47.3,9cb81e89ddc3acf61816dc4b0b71e721cf051fed9c428e3b
11,ValiantBadger29,866,21:47.3,9fba15dfd8c3fba21c458e4b5726b37f9f521db99845896b
11,Pilot Falcon,866,21:47.3,9fbb4289dc96fcad18148c4c5b7ab376cb524eee9e19896d
12,Poplegend,1034,25:31.7,9fba1682de96aaf31b118d425c7ab225cd571dbd9919d03a
12,TDDEXTER,1034,25:31.7,9fbb428fd9c4adf74c47d91e5d77e5239d571bba9618df38
12,Pixl,1034,25:31.7,9fbe16d9db92ada54e4b87435970e5769a004cbacc44d13a
13,GeorgieYDavion,1483,19:11.3,9ced118fddc3faa74a16dd1e0d76b477cf071ebd9642d83a
