Placement,Name,Score,id
1,DonnieSharko,1:52.8,9ced158a8b93acf64b168f485721e071c8044cb89612d838
1,BBc in Buttman,1:52.8,9fbf148ddbc4abf04d168a495972e771cf0415b49d42d03c
1,Buttman do CT,1:52.8,9ceb4383de90fef71c148c4c5d26e77fcc514ebc9a118d3a
2,ANG-Z,2:15.7,9cea1fde8b93aca34b11db4a0d75e7709a501bee98118d39
2,VeDAN,2:15.7,9cb612deddc2aaa01910de490b21b524cc5548bd9a16dc6b
2,FeedMePi314,2:15.7,9fbd44ddde91ada31b148e425770e37e99011ebe9615dc3e
2,donkeymule2,2:15.7,9cb943d8d797fea249468e4f5b76b473cc0d1eee9c14d03e
3,Milin,3:12.484,9fbb168bdac0afa11a45dc490d22b225ca514ceecb178a3a
3,Shigure Kira,3:12.484,9fbd14ded696aba54c478a1e0b72e223980115bc99148d31
4,Sopel,7:31.8,9cee1082899eadf14b4a8d4e5e73e277cc0619ba9943893e
4,iShadow,7:31.8,9ce912838a93fbf44911db4e0e72e77fc50715ba96168e30
4,Axyom,7:31.8,9ceb158a89c5f1a318478f1e5976e126cd0015bd9f41de39
4,Kakakarotcake,7:31.8,9cec14dada97fff34b4a89495921e170c8024fba9b17d038
5,wingsoffire64,22:50.467,9ce91e8e8d90afac10468a195f70e670c5514cee99148d6d
6,zoo1,23:18.084,9fbb44898e90f0f61046d94e0c21e67ec5001ee89c418d39
6,khwissy,23:18.084,9fbe4389d695afac4c438b4c5722e272cd064ebdcf10d830
6,Birel,23:18.084,9ce9448ed897fdf619458f425627e370ce504fb89646de6d
7,Yan,33:38.383,9fbb42d98c95f8a24a458e4c0a26ef769f5115ef9c158b6b
7,Windkey.,33:38.383,9fbb438fdfc4a8f41a47dd195827e6249d0d14b5cc15de3e
7,HoboJoe,33:38.383,9cb91389d693f9ad1e428e4a5620ef76cc0d48bcca15da3e
7,Sparky,33:38.383,9fbb44dddd90ada51e448f195721e025cb054bb49e45893a
8,cys8019,34:05.8,9ced1288db93f0ac1a448d4e0b75ee7fcf0719ea9718dc30
9,hugebanana,38:17.134,9fbb418bd7c4a8ad4e42891a0a73b5239a004eea9f46de6a
9,3149729122,38:17.134,9fbb168fdc93fca218138a4c5b74b073c9061aea9617dd3e
10,Kage,40:25.433,9fbb4283df9eabf6494a88435a77e674c40c19becf46db3b
10,Toaster Demon,40:25.433,9fbe1e8adb95f8a31945881a5a21e575cd571dbb9d18de6c
10,Damija,40:25.433,9ce917d8d7c7aff3491689435877e2769a044ebb9718d03a
10,Chuckles,40:25.433,9ceb168dd792fca51810de4b5d21ee7ecd0015e9c817dc3a
11,MonkeyMan,41:00.867,9fbb178d8d92f9f74d448d495c22e726ce051ce8cd18d93f
11,i_dont_sab,41:00.867,9fbc43dad7c5fea0104486185b25e2719a0419ea9913dd39
11,Ph4nt0m8979,41:00.867,9fbe118ad89ef8a71d42da1a5a74e272cd061dbc9b15de6a
12,XSHshooter,42:49.4,9fbb418fd991fcf61c458b4e567ab576cf034eb49e13de31
12,Player,42:49.4,9fbb438e8c96fbf64a13dc1e5f20b325ce0c1dba9b12de6c
12,lemu0202,42:49.4,9fbb44dfdfc2fba749168a4c5871ee76995149b59a42d86d
12,GluePhoenix266,42:49.4,9fbb1ed8d9c7aff41d43d9435e72e67299504bbacd11db3e
13,OrzMaster,43:27.183,9ceb42dada96f0f11142da1d0c25e225c9514cbf9c18d86b
14,Legenderik,44:15.983,9fbf16da8ec0fff31c408e185671e377cc0519b4cd17db39
14,Banane,44:15.983,9ce91f898bc3f0a21f4b8c4c5d73e1759f0c49be9f18da3d
14,Lack,44:15.983,9cea14828c92fda21a108c4c0970e5259a054bbd9845da6e
15,Andrew Tate,46:32.233,9fbb43888b92fca74c4a891e0c74b574cb5715edca14df6e
15,BigSwampOwner,46:32.233,9cb942ded6c0aca61b16d918587bb426cc0d1cbf96458d38
16,Echo,46:33.317,9fba15da8bc3fff41f418e4b5775e676c5061cea9c10d831
16,Valkyrie,46:33.317,9fbe41888c9ff9a31c13d94b5b75ef26980615bfcf15d83c
16,SpiritBearOkku,46:33.317,9fbf128f8cc7ada61d43dd4f5d71e67e990c1cef9a12d03b
17,Rafiial2,47:34.9,9fbc10888ac5a8a34c45d9420b7bb272c8551dedc811d93c
17,Rafiial1,47:34.9,9ced1488db9ffbf11117874c5f20e324ce521fbd97468c6a
17,dinascar,47:34.9,9cba1f8e8a91f8f14b4bda485c72b37fce034bbd9644dc3e
18,Legacy,48:19.117,9fba148bdf9efbac1b4a894e5e76e4719f0c19ed99158c3f
18,Eon,48:19.117,9fbb46d88ac3a8ad1d40da185b76ee24cc5014b59919da3d
18,bcnaomi16,48:19.117,9fbe10dfdc95adf41943de4f5c72e575ce071bb59817dd6d
18,ShinyPopper4293,48:19.117,9fbb43ddd696fca34a40dd425977b224ce0419ef9812de31
