Placement,Name,Score
1,WhiteNight,223950
2,Guanium,228716
3,Loeg,263450
4,donkeymule2,269433
5,David Rojas,302117
6,HuTaoBooTao,315316
7,Patthebigmonke,324500
8,FeedMePi314,328150
9,Westvirginia,332867
10,Domingus Boomr,352800
11,Essi,359683
12,BengPro,385466
13,Vert,397667
14,HarryLeif,399200
15,01191020csl,401150
16,feinberg,404183
17,Hopper,436733
18,A'nan,453017
19,etihw,454066
20,default,456917
21,SSLair,460584
22,2649935474,475467
23,SupremeAvocado,486450
24,High Wizard jp,488117
25,85563369,497916
26,Blild,499200
27,CR7,499716
28,Erhe,502666
29,Dakota Jackson,506367
30,Cold moon,506434
31,<elves>,508217
32,Y,508433
33,Nature's Grace,523150
34,K4S6M,523783
35,Monster,528350
36,laplacian,529850
37,Loconch,537350
38,Petrichor,538683
39,fafe,540283
40,Tequila23333,542767
41,ILoveThisGame,543817
42,Supermonkey,544850
43,Liam,547233
44,nuohu,550950
45,Ayeccs,551966
46,Player,554250
47,SomeWabalan,557950
48,laugh to death,558966
49,crazysheep,560950
50,Bonzo,563833
51,pllan,568033
52,Aleccrazy,571950
53,3062283445,575167
54,bonk,577183
55,Ph03n1x_,577800
56,ToddChris,581133
57,Player,583667
58,UNLUCKY,584017
59,Alkos,584350
60,laodaomo,590116
61,hui,591034
62,EECKLLP,591950
63,wind3366,593067
64,uvclive,595233
65,BHD,601833
66,Oorz,618500
67,chuckddd,622184
68,Ansppy,625750
69,User-a5549921b4,627733
70,Xi-temper,627800
71,WOR Z050 LAK,630617
72,Jerry,634316
73,CHenMoOn,634450
74,Anderwar,635117
75,IndoorWallaby8,635650
76,lpsz,644466
77,Hnz,647100
78,InfinatEmber,649100
79,rtthrd,649383
80,Player,650117
81,momidid,652300
82,940909681,653367
83,KotalKatil,653900
84,Kival Evan,659084
85,mustangOvO,667950
86,abcdefend,668584
87,Played,668883
88,Snek,674583
89,Thunder,679000
90,FearfireNoLeak,685850
91,Playerzmz100,689533
92,Player,692167
93,PlasmaofDragon,697800
94,Klefki98,700867
95,ObamaBinLaden,701583
96,AlphaFish,702500
97,LonelyDog,704850
98,song,704867
99,ReWolverine,705167
100,wdnm,708433
101,Failure,712833
102,mdeschu,717050
103,xkylol,727617
104,yjdstcyjdstc,732650
105,Mashiro,732683
106,spaceflight1st,734684
107,Louis.Yu,734934
108,majorstudconan,736733
109,t11,738484
110,Tymo Roys,740317
111,Kyle,744883
112,Hala_CR,746050
113,The-Epiphany,753833
114,Gooberbora,754634
115,Christophero87,756967
116,spoony_qing,757233
117,skyliwen,758550
118,BoBLorDE,762883
119,miknoiz,765650
120,CyanRabbit625,769500
121,Deep_Tadeas,772417
122,Berkano,777266
123,2978710005,778350
124,RiFt,781600
125,jwolfe929,781883
126,kdogg8173,783734
127,MeKesh,784084
128,SquidKid,784867
129,DarkHeldoro,785233
130,noxgloo,785450
131,Dank-Energy,787617
132,VioletHero1760,788100
133,Player,788717
134,Jeffy iz Best,789700
135,doudoubtd,791483
136,Wythe,791817
137,Yukimashiro,792750
138,also hi,809584
139,Bridge,814100
140,luohezhiming,819117
141,siwori,821500
142,taiks,822366
143,Elevitian,828166
144,MeowSummon,832100
145,Victor Calleja,833134
146,PeachPanda2321,835250
147,Player5905982,838267
148,-Kev2048-,838416
149,Redrage,840550
150,nemeq,840600
151,87,845450
152,Mawo,847566
153,Kerone,850217
154,Wilzy,850950
155,sadsad1370,851617
156,DocDapper,851967
157,Raxzor,856067
158,Alro7,865750
159,ZungGaaYi,866033
160,N0name_14,871050
161,HATE LEASTCASH,872167
162,Blaze7989,873117
163,Chelios,874617
164,Player,875450
165,themajaris,877884
166,2134565,878517
167,Reasons why,880950
168,MagicDusty,883367
169,Scranish,883784
170,Derretimentos,885284
171,HeroicTiger4856,888217
172,ckdd,889800
173,Max_Power_HS,891800
174,Trickybanana,895700
175,LpoolBomber,903516
