Placement,Name,Score
930,coniferz,8:36.683
931,Tong Lexuan,8:36.95
932,Wherestherumham,8:37.033
933,Bread_Overlord,8:37.083
934,Player,8:37.2
935,Gamerock,8:37.367
936,Emilian256,8:37.416
937,Dominospaghetti,8:37.5
938,Skull Knight,8:37.516
939,NinjaWizard553,8:37.666
940,whom,8:37.9
941,Mat3eo55,8:37.916
942,airsoftsnyper,8:37.983
943,sadsad1370,8:38.033
944,EOH,8:38.3
945,Firecraft,8:38.483
946,Sleepy Joe,8:38.567
947,mt,8:39.017
948,limand33,8:39.55
949,remedialhawk99,8:39.566
950,EWeb,8:39.634
951,Eagle,8:40.416
952,Hugga,8:40.683
953,StompGT,8:40.683
954,Henk_De_Buurman,8:40.866
955,Irx-_-,8:41.034
956,CaioManeiro,8:41.083
957,Plawiz,8:41.1
958,=V=,8:41.233
959,Player6350819,8:41.284
960,themajaris,8:41.35
961,Zeitgeist77,8:41.483
962,gijmpf,8:41.917
963,machu000,8:41.917
964,Christopher,8:42.433
965,joefitness14,8:42.467
966,Teffg,8:42.583
967,AdolfH.,8:42.8
968,LordElios,8:42.95
969,Nick Frost,8:43.266
970,M1200,8:43.567
971,Jordan,8:43.917
972,Tobi,8:43.95
