Placement,Name,Score
1,YtseJam,34600
2,suboptimal,34883
3,Remove LC Boss,35000
4,Patthebigmonke,35283
5,Guanium,35450
6,ZeroLancer,35583
7,feinberg,35633
8,BTD 6 NO0O0B,35633
9,- Cyclop3s 49 -,35683
10,Flora,35900
11,sejamstepbro,35983
12,Gone,36033
13,Loeg,36117
14,Hopper,36250
15,Lava,36267
16,Shhdaddysworkn,36283
17,spritelol,36400
18,L01Y,36450
19,Westvirginia,36450
20,Secno,36450
21,Nocturnal,36517
22,Rivera,36700
23,baiyu,36800
24,The noob,36817
25,VeDAN,36917
26,TheIvyX,36950
27,Park Won Soong,36967
28,YT-FynnEbsen,36967
29,ObamaBinLaden,37000
30,ILoveThisGame,37000
31,2077,37017
32,Felicia_Wh4t,37067
33,JackIsthebest,37083
34,Dakota Jackson,37100
35,FeedMePi314,37117
36,ALL_INSTAS!!!,37183
37,der_ute,37283
38,Kerone,37283
39,bonk,37367
40,heiyu,37433
41,Sir Farmalot,37450
42,M3mes,37517
43,Player,37533
44,Pancake <3,37550
45,Fluffy Spani:3,37550
46,Lino,37583
47,DonnieSharko,37600
48,Failure,37600
49,--Thefool--,37617
50,BloonGoon,37684
51,A'nan,37717
52,Visomero Brabo,37717
53,Raxzor,37750
54,FroStee,37850
55,WOR ZOII3 LAK,37867
56,ikun,37883
57,Isab Girl,37900
58,BlueBi0,37900
59,Marsgod,37900
60,Internet Dino,37917
61,Cersa,37967
62,BroCat58,38000
63,Evan,38033
64,Spoony,38083
65,$NINJA_MONKEY$,38250
66,Darth Plagueis,38283
67,Z.O.M.G,38300
68,Diana,38300
69,PHUC DU,38317
70,chickenshark,38517
71,Weadeater,38633
72,Adrian Maskowy,38633
73,Ansppy,38733
74,Ty,38733
75,Overclock,38800
76,Compute,38850
77,3062283445,38933
78,OnlyfansLover,38950
79,BengPro,38967
80,Ninjy,39133
81,Yuki,39167
82,Player,39250
83,Vert,39400
84,FraiseTagada,39467
85,YT BTD6Unknow,39483
86,Giisen,39500
87,Viiv,39517
88,Tequila23333,39550
89,Javiet05,39700
90,Yuno,39716
91,Cinta_ku,39733
92,YeetDaNoob,39750
93,StarKirby749,39900
94,WOR ZOII2 LAK,40017
95,ANDERSON RUJI,40050
96,Monkeman,40083
97,DotTrevv,40117
98,Gus,40266
99,DavidAB__,40283
100,Player3895232,40516
101,Jao,40550
102,Kevin,40650
103,GreatMonkey4742,40700
104,paradise,40700
105,Amatore,40734
106,mdrouge,40850
107,maTek123,40867
108,chuckddd,41000
109,WOR ZOI1 LAK,41033
110,Ayeccs,41033
111,ANG-Z,41117
112,K4S6M,41334
113,mdeschu,41367
114,OlliSol,41484
115,animal,41600
116,Marshader,41750
117,fafe,41817
118,Player,42100
119,DireRaven,42266
120,Murko,42400
121,IndoorWallaby8,42450
122,N0name_14,42550
123,Reaper,42567
124,Capipgk,42650
125,dsero,42750
126,A1phaeus,42800
127,default,42867
128,FabzGreenww,42950
129,NitroSwftBlade,43017
130,TRekt,43017
131,AcerZ,43333
132,poopdoctor,43400
133,EVirus72,43500
134,rodulant,43550
135,Cringeworthy,43600
136,Ariq123,43650
137,Nighti,43816
138,linjiangzhixian,43933
139,DogFace,44017
140,$jimal$,44034
141,ReWolverine,44050
142,T.Tv_Firefly,44083
143,JBriel,44316
144,shenbuzhi,44816
145,NIK,44934
146,VioletHero1760,45050
147,Player7777777,45183
148,01191020csl,45366
149,Redfoxyboi,45666
150,aboni,45850
151,Player,45966
152,Betinho.RGLN,45983
153,plh,46350
154,Player9729105,46700
155,Gielepino,46767
156,NitsuaGames,46817
157,StiffSock1738,46866
158,jakethecake34,46900
159,No_Message,46950
160,Raymond,47167
161,Damianjestem,47167
162,NicoYeet,47483
163,Affter,47550
164,<elves>,47617
165,B_alls,47750
166,Petrichor,48016
167,joe2,48200
168,HappyN12345,48267
169,Alkos,48484
170,Dracula,48733
171,KotalKatil,48750
172,Superbrad,48850
173,PsykomanT,48867
174,SHS_tamber78,49384
175,Weirdog,49400
176,C0nRad,49917
177,7,50017
178,David Rojas,50033
179,zuimeng,50116
180,Mai Teireida<3,50117
181,Dark_night,50283
182,FakePotato YT,50550
183,WOR ZOII4 LAK,51133
184,StarrySkyDF3,51300
185,noxgloo,51467
186,Cramsy.,51750
187,luca.devecchis,51767
188,xx,51800
189,Banzai,52434
190,yy,52550
191,AndenTheGamer,52634
192,Player1705289,53000
193,Polaris,53333
194,PopWizard08715,53767
195,alamit164,53933
196,Player8313015,54100
197,MamaParagonT,54666
198,Covid 19,54867
199,2632490895,54917
200,mizon yala,55016
