Placement,Name,Score
1,YtseJam,75967
2,reflect,78566
3,WhiteNight,86617
4,Guanium,89100
5,wanda true,93600
6,Remove LC Boss,96417
7,Gumball,99283
8,CLOWNSCAMMER,100000
9,feinberg,107050
10,Shhdaddysworkn,107650
11,Darth Plagueis,112950
12,BAPAK BAPAK,113317
13,AwesomeWizard4,114650
14,Punji :),116217
15,Dasius,116567
16,suboptimal,116983
17,2077,117316
18,Westvirginia,118184
19,chickenshark,118267
20,Vert,119017
21,Monachus,119800
22,JackIsthebest,119817
23,IMEGFirestar,119850
24,Alkos,120283
25,Gielepino,121350
26,Kevin,123200
27,VeDAN,123417
28,Light,124150
29,TheProz2006,124166
30,Monster,124833
31,Janky Joongler,125650
32,ceremelia,125866
33,Pancake <3,126267
34,FeedMePi314,126400
35,DiNGA,127033
36,Cloudy,127534
37,TinyPineappl,128450
38,Thompis,128916
39,CyanRabbit2842,129533
40,Dakota Jackson,130750
41,Joe,131233
42,Aronn9,131267
43,viennariver,131450
44,HippedTony,132383
45,Dago Duck,132417
46,iBenba,132483
47,taiks,133666
48,$jimal$,133700
49,stev,134167
50,Takagi,134383
51,Siladix,134833
52,Arthur,135717
53,Shinybobble,137484
54,Geno,137684
55,Patthebigmonke,138300
56,Arzaayuq,138317
57,Red Komrade,138433
58,VanBummel,138583
59,HappyN12345,138867
60,Ootsie,139200
61,StarKirby749,139667
62,xing er,139783
63,Dabbin Dinosaur,139933
64,TealZebra1324,140917
65,Eloboosted,142817
66,SupremeAvocado,144566
67,RiFt,145967
68,DetonaRJ,146450
69,Unikalny,148217
70,QLancer,148233
71,CyberRail,148650
72,wilco2689,148800
73,Spagublio,150550
74,WOR ZOII4 LAK,151066
75,Raider,152267
76,Triple,152883
77,SparksElm,152916
78,WOR Z050 LAK,153083
79,BengPro,153967
80,Caleb Fraser,156884
81,Prosthium,157200
82,UrTrueNemesis,157567
83,Jaster56100,157717
84,Dave,157800
85,Bonzo,159467
86,MangT28,160184
87,KuroNoTsubasa,163950
88,HOYHOY,164000
89,ReWolverine,166550
90,MrMkk,167500
91,David Rojas,169300
92,SomaliPirate,170483
93,Zogazig,170833
94,ILoveThisGame,171033
95,Bruh,171767
96,No_Message,171917
97,Feeeeestus,172500
98,A6,172600
99,geronimo tauren,173950
100,Blild,174016
101,default,174433
102,PsykomanT,175683
103,sanger,177750
104,Akisa,180250
105,Tigereye9,181266
106,dek_piki13,181834
107,Pizzameneertje,182783
108,Player6129584,183183
109,Covid 19,185833
110,LoneWolf,185983
111,Triggered,187750
112,TheIvyX,189100
113,K4S6M,189600
114,Murko,189750
115,Hopper,190067
116,Mihitra,191300
117,Kerone,192000
118,TaRk,192434
119,escombra,195634
120,Liam,196117
121,Nocturnal,200500
122,ZeroLancer,204517
123,Ev1de,204833
124,AOmonsta,204900
125,Player,205183
126,Valen,206100
127,danicek,206550
128,dsero,206967
129,FraiseTagada,207900
130,BloonGoon,208734
131,G-GOAT,209250
132,KotalKatil,209900
133,Faceless king,210617
134,Cleantraitor07,211683
135,Player,212200
136,2649935474,215283
137,Marin no desu,216266
138,Kimoon,217684
139,Dracula,219100
140,TinTin,219884
141,AnimeTiddees,222367
142,GreenSphinx11,223634
143,C0nRad,224850
144,LanceyGustey,224934
145,ANG-Z,226600
146,BigGreenBug,226900
147,Pls follow me!,228150
148,VividVisions,234084
149,DonnieSharko,240000
150,Lunya,241517
